label,text
1,"This is a little longer and more detailed than the first two books in the series. However, I have enjoyed each new aspect of the exciting fantasy universe."
0,Only Michelle Branch save this album!!!!All guys play along with unenthusiastic beat!!! even Karl
1,"A surprisingly good book, given its inherently problematic nature: a group of white people pretend to be Hindu gods on another planet. Yet Zelazny appears to have done his research, creating a rich world and using the character of Siddhartha to skillfully question the ways of the ""gods"". The world rang true, to my admittedly limited experience of Asia, but that's more than some books about Asia manage. Lord of Light is a book that wears its problematic nature on its sleeve, and opens itself for the attendant discussion. Also, it tells a good story."
1,"This is a wonderful, quiet and relaxing CD that I find Iput on quite often. MB has a wonderful voice that canjust about sing anything. If you want good music try thisCD and then look up and find the rest of his music. Hewasn't awarded England's top male singer in the past 25 yearsfor nothing. He certainly is my favorite singer and I willcontinue to purchase every album and every video he puts out."
0,"The lights that I received are absolutely not as pictured. The product description is vague if not poor.The lights received are much smaller than in the photo (an inch in diameter). They are useless as illumination. I live in a high-sun area and have placed the charger in a position where it gets sun from dawn to dusk. The cord from the charger and the lights is long, which allows you to place the charger on the roof. In the end they are not worth the price."
0,"I need to preface this review by saying that I never received myZojirushi NS-ZCC18 from Amazon. Twice they sent me the oldermodel, the NS-ZAC18 instead. All the while their website claimsthat they have plenty of inventory, and that it ships within24 hours. Repeated calls to Amazon get plenty of sympatheticresponses, but no action. THE BOTTOM LINE: Amazon advertisesproducts that it does not actually carry.This seems to be a common theme with Amazon recently, somethingtantamount to a bait-and-switch. It also occurred when I orderedthe ""Ultimate Rice Cooker Cookbook"" and had to wait a week for itto ship, even though they claim it was in stock. I finallyreceived an e-mail that there was an unspecified ""problem""with the order. I called Amazon and was told that they had justreceived a couple copies and one would be mine -- remember, thewhole time before this their site claimed ""In Stock, ships in 24hours"".Not good business practice."
1,"I'm not much of a ""hard rock"" fan. I enjoy it from time to time, but I mainly listen to Radiohead, older hip-hop, etc. But this album got me hooked.One day, many years after the release of Toxicity, I decided to check it out. Right after the first track, ""Prison Song"", I knew this was going to be a great album. The great riffs and political lyrics basically told me I was in for a treat. And I sure as hell was. Serj Tankian's interesting [but awesome] vocals and catchy guitars and drum beats make for an awesome listen. Check it out.-Jeff"
0,This movie was very boring and hard to get into. I started falling asleep in the first fifteen minutes. It's a very chick flick type of movie and I suggest men do not see it.
1,"Excellent novel about cultural/generational borderlands and the search for personal identity. Tells the story of three marginalised young outcasts who forge a strong bond of friendhip that helps see them through various life dramas. Teo is a highly intelligent writer who makes you care about her characters, she is also excellent at evoking the flavour of various cultures in her writing. A thought provoking tale of borders, boundaries and coming of age in the cultural melting pot of contemporary Australia, told with plenty of wit and heart."
0,"I think that Mr. Marquez is a far superior story teller than he is a writer. It is too bad you can't sit around a fire listening to his stories instead. This book basically has no overall plot, but many smaller plots for each little story within it. I thought the sheer number of characters who names were similar (if not the same) was very annoying. I had a hard time connecting with any of the characters due to the weaving in and out of other characters. I know that there was a family tree in the beginning, but I just got tired of flipping back to the point that I just did not care.To the average reader, without a discussion group or a literary expert, many of the ""hidden gems"" will be missed if there are any. On the whole, I just couldn't shake the vibe that I was reading an extended version of the Old Man and the Sea.It was interesting from the point of reading a Mexican writer."
